iter	Passed	Remaining
0	188	18615
1	196	9636
2	209	6783
3	223	5354
4	233	4428
5	246	3860
6	257	3421
7	270	3106
8	284	2878
9	297	2681
10	305	2472
11	318	2337
12	329	2202
13	340	2091
14	354	2007
15	367	1929
16	382	1866
17	395	1803
18	411	1755
19	429	1717
20	444	1673
21	460	1630
22	477	1599
23	494	1566
24	510	1531
25	525	1495
26	541	1464
27	557	1432
28	575	1407
29	597	1395
30	610	1358
31	627	1333
32	646	1313
33	661	1283
34	674	1252
35	685	1218
36	700	1191
37	713	1164
38	727	1137
39	742	1113
40	755	1086
41	767	1059
42	782	1037
43	797	1014
44	807	986
45	820	963
46	831	937
47	844	915
48	858	893
49	874	874
50	889	854
51	902	833
52	915	812
53	927	790
54	940	769
55	953	748
56	967	730
57	980	710
58	993	690
59	1006	671
60	1023	654
61	1045	640
62	1070	628
63	1090	613
64	1112	598
65	1140	587
66	1159	571
67	1183	556
68	1201	539
69	1216	521
70	1231	503
71	1244	484
72	1256	464
73	1269	446
74	1284	428
75	1301	411
76	1314	392
77	1328	374
78	1341	356
79	1352	338
80	1366	320
81	1379	302
82	1392	285
83	1405	267
84	1416	249
85	1429	232
86	1442	215
87	1455	198
88	1466	181
89	1479	164
90	1494	147
91	1506	130
92	1518	114
93	1533	97
94	1550	81
95	1565	65
96	1585	49
97	1604	32
98	1625	16
99	1641	0
